"Código Institución";"Nombre Institución";"Estado Institución";"Carácter Académico";"Sector";"¿Puede Recibir Estudiantes Nuevos?";"Estado Programa";"Descripción Estado Programa";"Fecha de la Resolución";"Número de la Resolución";"Justificación";"Reconocimiento del Ministerio";"Resolución de Aprobación No.";"Fecha de Resolución";"Vigencia (Años)";"Fecha de Registro en SNIES";"Código SNIES del Programa";"Código Anterior (ICFES)";"Área de Conocimiento";"Núcleo Básico del Conocimiento - NBC";"Nombre del Programa";"Nivel Académico";"Nivel de Formación";"Metodología";"Número Créditos";"Número Periodos de Duración";"Periodos de Duración";"Titulo Otorgado";"Departamento Oferta del Programa";"Municipio Oferta del Programa";"Costo Matrícula para Estudiantes Nuevos";"¿Se ofrece por ciclos propedéuticos?";"¿Cada cuánto se hacen admisiones de estudiantes nuevos?"
"1301";"UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS";"ACTIVA";"UNIVERSIDAD";"OFICIAL";"NO";"INACTIVO";"INACTIVO";"";"";"";"";"";"";"";"21/03/1998";"922";"130156700421100111100";"INGENIERIA, ARQUITECTURA, URBANISMO Y AFINES";"INGENIERIA INDUSTRIAL Y AFINES";"ESPECIALIZACION EN INGENIERIA DE PRODUCCION";"POSGRADO";"Especialización Universitaria";"Presencial";"28";"1";"ANUAL";"ESPECIALISTA EN INGENIERIA DE PRODUCCION";"BOGOTA D.C";"BOGOTA D.C.";"";"NO";""
"1301";"UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS";"ACTIVA";"UNIVERSIDAD";"OFICIAL";"SI";"ACTIVO";"ACTIVO";"";"";"";"";"4337";"10/03/2017";"7";"21/03/1998";"923";"130164203701100111100";"CIENCIAS DE LA EDUCACION";"EDUCACION";"MAESTRIA EN LINGUISTICA APLICADA A LA ENSEÑANZA DEL INGLES";"POSGRADO";"Maestría";"Presencial";"50";"4";"SEMESTRAL";"MAGISTER EN LINGUISTICA APLICADA A LA ENSEÑANZA DEL INGLES";"BOGOTA D.C";"BOGOTA D.C.";"";"NO";"SEMESTRAL"
"1301";"UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS";"ACTIVA";"UNIVERSIDAD";"OFICIAL";"NO";"INACTIVO";"INACTIVO";"";"";"";"";"";"";"";"21/03/1998";"924";"130160040601100111100";"INGENIERIA, ARQUITECTURA, URBANISMO Y AFINES";"INGENIERIA DE SISTEMAS, TELEMATICA Y AFINES";"MAESTRIA EN TELEINFORMATICA";"POSGRADO";"Maestría";"Presencial";"";"3";"SEMESTRAL";"MAGISTER EN TELEINFORMATICA";"BOGOTA D.C";"BOGOTA D.C.";"";"NO";""
"1301";"UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS";"ACTIVA";"UNIVERSIDAD";"OFICIAL";"NO";"INACTIVO";"INACTIVO";"";"";"";"";"";"";"";"21/03/1998";"2765";"130156130901100111200";"CIENCIAS DE LA EDUCACION";"EDUCACION";"ESPECIALIZACION EN EDUCACION SEXUAL";"POSGRADO";"Especialización Universitaria";"Presencial";"";"2";"SEMESTRAL";"ESPECIALISTA EN EDUCACION SEXUAL";"BOGOTA D.C";"BOGOTA D.C.";"";"NO";"SEMESTRAL"
"1301";"UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS";"ACTIVA";"UNIVERSIDAD";"OFICIAL";"SI";"ACTIVO";"ACTIVO";"";"";"";"";"";"";"";"21/03/1998";"2837";"130127966581100111100";"ECONOMIA, ADMINISTRACION, CONTADURIA Y AFINES";"ADMINISTRACION";"TECNOLOGIA EN ADMINISTRACION DEPORTIVA";"PREGRADO";"Tecnológica";"Presencial";"";"6";"SEMESTRAL";"TECNOLOGO EN ADMINISTRACION DEPORTIVA";"BOGOTA D.C";"BOGOTA D.C.";"";"NO";"SEMESTRAL"
"1301";"UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS";"ACTIVA";"UNIVERSIDAD";"OFICIAL";"SI";"ACTIVO";"ACTIVO";"";"";"";"";"14465";"04/09/2014";"7";"21/03/1998";"2917";"130156600601100111200";"INGENIERIA, ARQUITECTURA, URBANISMO Y AFINES";"INGENIERIA BIOMEDICA Y AFINES";"ESPECIALIZACION EN BIOINGENIERIA";"POSGRADO";"Especialización Universitaria";"Presencial";"30";"2";"SEMESTRAL";"ESPECIALISTA EN BIOINGENIERIA";"BOGOTA D.C";"BOGOTA D.C.";"";"NO";"SEMESTRAL"
"1301";"UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS";"ACTIVA";"UNIVERSIDAD";"OFICIAL";"NO";"INACTIVO";"INACTIVO";"";"";"";"";"";"";"";"21/03/1998";"2918";"130154010901100111100";"CIENCIAS DE LA EDUCACION";"EDUCACION";"ESPECIALIZACION EN CIENCIAS DE LA EDUCACION CON ENFASIS EN PSICOLINGUISTICA";"POSGRADO";"Especialización Universitaria";"Presencial";"";"3";"SEMESTRAL";"ESPECIALISTA EN CIENCIAS DE LA EDUCACION CON ENFASIS EN PSICOLINGUISTICA";"BOGOTA D.C";"BOGOTA D.C.";"";"NO";"SEMESTRAL"
"1301";"UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS";"ACTIVA";"UNIVERSIDAD";"OFICIAL";"NO";"INACTIVO";"INACTIVO";"";"";"";"";"";"";"";"21/03/1998";"3432";"130147966581100111100";"ECONOMIA, ADMINISTRACION, CONTADURIA Y AFINES";"ADMINISTRACION";"ADMINISTRACION DEPORTIVA";"PREGRADO";"Universitaria";"Presencial";"";"10";"SEMESTRAL";"PROFESIONAL EN ADMINISTRACION DEPORTIVA";"BOGOTA D.C";"BOGOTA D.C.";"";"NO";"SIN DEFINIR"
"1301";"UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS";"ACTIVA";"UNIVERSIDAD";"OFICIAL";"NO";"INACTIVO";"INACTIVO";"";"";"";"";"";"";"";"21/03/1998";"3555";"130150040601100111200";"INGENIERIA, ARQUITECTURA, URBANISMO Y AFINES";"INGENIERIA DE SISTEMAS, TELEMATICA Y AFINES";"ESPECIALIZACION EN TELEINFORMATICA";"POSGRADO";"Especialización Universitaria";"Presencial";"";"3";"SEMESTRAL";"ESPECIALISTA EN TELEINFORMATICA";"BOGOTA D.C";"BOGOTA D.C.";"";"NO";"SIN DEFINIR"
"1301";"UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS";"ACTIVA";"UNIVERSIDAD";"OFICIAL";"SI";"ACTIVO";"ACTIVO";"";"";"";"";"8129";"30/05/2014";"7";"21/03/1998";"3556";"130153840641100111200";"INGENIERIA, ARQUITECTURA, URBANISMO Y AFINES";"INGENIERIA ELECTRONICA, TELECOMUNICACIONES Y AFINES";"ESPECIALIZACION EN TELECOMUNICACIONES MOVILES";"POSGRADO";"Especialización Universitaria";"Presencial";"28";"1";"ANUAL";"ESPECIALISTA EN TELECOMUNICACIONES MOVILES";"BOGOTA D.C";"BOGOTA D.C.";"";"NO";"SEMESTRAL"
